sep=,
maxTraces,traceSize,observed,model_jaccard,model_precision,model_recall,log_fitness,log_precision,illegal_traces
5,5,5,0.07629870129870131,0.5,0.02857142857142857,0.08333333333333337,0.7153558052434457,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,10,0.14902597402597403,0.5,0.02857142857142857,0.22619047619047616,0.7611940298507462,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,15,0.15974025974025977,1.0,0.08571428571428572,0.25,0.7872670807453416,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,20,0.18181818181818182,NaN,0.0,0.27380952380952384,0.6488095238095238,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,25,0.21818181818181823,NaN,0.0,0.33333333333333337,0.6398809523809523,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,30,0.2616883116883117,0.5,0.02857142857142857,0.35119047619047616,0.6064981949458483,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,35,0.36363636363636365,NaN,0.0,0.5,0.49047619047619045,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,40,0.3826086956521739,0.0,0.0,0.5654761904761905,0.4669786791471659,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,45,0.4173913043478262,NaN,0.0,0.6666666666666667,0.4574175824175824,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,50,0.462888198757764,1.0,0.05714285714285714,0.7440476190476191,0.4692069118298626,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,55,0.5217391304347826,NaN,0.0,0.8273809523809523,0.41183035714285715,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,60,0.5565217391304348,0.0,0.0,0.8630952380952381,0.4116568914956012,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,65,0.5565217391304348,NaN,0.0,0.9047619047619048,0.4019607843137255,trace 14trace 15trace 12trace 13trace 10trace 11trace 1trace 2trace 3trace 4trace 5trace 6trace 7trace 8trace 9
5,5,70,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,75,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,80,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,85,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,90,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,95,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,100,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,105,0.591304347826087,NaN,0.0,0.9821428571428571,0.38425925925925924,trace 14trace 15trace 12trace 13
5,5,110,0.6608695652173914,NaN,0.0,0.9940476190476191,0.35119047619047616,trace 14trace 15trace 13
5,5,115,0.6608695652173914,NaN,0.0,0.9940476190476191,0.35119047619047616,trace 14trace 15trace 13
5,5,120,0.6608695652173914,NaN,0.0,0.9940476190476191,0.35119047619047616,trace 14trace 15trace 13
5,5,125,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,130,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,135,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,140,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,145,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,150,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,155,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,160,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
5,5,165,0.6956521739130435,NaN,0.0,1.0,0.33701814058956914,
